thai,english,parts,n_parts,n_glossed,score_A,score_B,score_C
สีน้ำตาล,brown,สี+น้ำตาล,2,2,0.42782212921203194,0.2986651062965393,0.4445874973564131
แผนที่,map,แผน+ที่,2,2,0.4296084835972459,0.20250290632247925,0.5400337580147188
ทั้งหมด,"total, all",ทั้ง+หมด,2,2,0.4303144064161968,0.2551403337549765,0.8029584844159148
หวัดดี,hi (informal),หวัด+ดี,2,2,0.4317381382159197,0.2903628349304199,0.9336764363724036
ไม่คล่อง,"not fluent, not smooth",ไม่+คล่อง,2,2,0.43305045714407914,0.6043577790260315,0.7524572000707674
ฟ้าร้อง,thunder,ฟ้า+ร้อง,2,2,0.43425737984703017,0.40897860580555234,0.6963665325251014
ฟ้าร้อง,thunder,ฟ้า+ร้อง,2,2,0.43425737984703017,0.40897860580555234,0.6963665325251014
มะละกอ,papaya,มะ+ละ+กอ,3,3,0.4375480594401728,0.29364724717421814,0.8304339243177942
มะละกอ,papaya,มะ+ละ+กอ,3,3,0.4375480594401728,0.29364724717421814,0.8304339243177942
พี่ชาย,elder brother,พี่+ชาย,2,2,0.4408979604267319,0.3968494236469269,0.7811482376531441
พี่ชาย,elder brother,พี่+ชาย,2,2,0.4408979604267319,0.3968494236469269,0.7811482376531441
ไม่เป็นไร,"it is ok, never mind",ไม่+เป็นไร,2,2,0.4428856353335181,0.5283163785934448,0.6842608789424074
เกี่ยวกับ,"about, related to",เกี่ยว+กับ,2,2,0.44449630001760987,0.21169857680797577,0.8470108376958685
ไม่เป็นไร,it is okay; nevermind,ไม่+เป็นไร,2,2,0.44650817570364854,0.5005744994029104,0.6842608789424074
แขวน,to hang,แข+วน,2,2,0.4486924753861663,0.10754625291183588,0.837678886898132
ทางตัน,dead end,ทาง+ตัน,2,2,0.45053521681067776,0.32781288955365295,0.8843368568895298
ทางตัน,dead end,ทาง+ตัน,2,2,0.45053521681067776,0.32781288955365295,0.8843368568895298
เป็นอย่างไร,how have you been?,เป็น+อย่างไร,2,2,0.4511540597348434,0.45427786758874106,0.8532720789161381
สระว่ายน้ำ,swimming pool,สระ+ว่ายน้ำ,2,2,0.4521962648471978,0.4212482728806,0.8956547331576828
ทั้งหมด,all; total,ทั้ง+หมด,2,2,0.45346056762230924,0.27437984652759473,0.8029584844159148
สามแยก,three-way junction,สาม+แยก,2,2,0.453593532740545,0.5002059042576494,0.9132954861708303
ไม่คล่อง,not fluent,ไม่+คล่อง,2,2,0.45376457774562484,0.5025545358657837,0.7524572000707674
ที่แล้ว,last/ago,ที่+แล้ว,2,2,0.4537962955501896,0.38656795024871826,0.8568000021773162
ลิ้นจี่,lychee,ลิ้น+จี่,2,2,0.4556689366515124,0.33589303493499756,0.9493360797887682
สีดำ,black,สี+ดำ,2,2,0.4589011026950468,0.35534098744392395,0.8363977530062482
รถไฟ,train,รถ+ไฟ,2,2,0.4658190438133433,0.3246642142133968,0.4209161036069437
รถไฟ,train,รถ+ไฟ,2,2,0.4658190438133433,0.3246642142133968,0.4209161036069437
ผู้โดยสาร,passenger,ผู้+โดยสาร,2,2,0.46587489827463474,0.4520990521966846,0.726450025224598
ผู้โดยสาร,passenger,ผู้+โดยสาร,2,2,0.46587489827463474,0.4520990521966846,0.726450025224598
