thai,parts,n_parts,per_part_cos,min_part_cos,mean_part_cos,max_part_cos,gap,sum_rank
ส้มโอ,ส้ม+โอ,2,0.602;0.041,0.04054206237196922,0.32143196277320385,0.6023218631744385,0.5617798008024693,4
ส้มโอ,ส้ม+โอ,2,0.602;0.041,0.04054206237196922,0.32143196277320385,0.6023218631744385,0.5617798008024693,4
ดำน้ำ,ดำ+น้ำ,2,0.044;0.171,0.04449480399489403,0.10757256112992764,0.17065031826496124,0.12615551427006721,143
สับปะรด,สับ+ปะ+รด,3,0.140;0.099;0.049,0.04851182922720909,0.09577502186099689,0.14015032351016998,0.09163849428296089,81
สับปะรด,สับ+ปะ+รด,3,0.140;0.099;0.049,0.04851182922720909,0.09577502186099689,0.14015032351016998,0.09163849428296089,81
มะเขือเทศ,มะเขือ+เทศ,2,0.504;0.049,0.04918130114674568,0.2765148375183344,0.5038483738899231,0.4546670727431774,10
มะเขือเทศ,มะเขือ+เทศ,2,0.504;0.049,0.04918130114674568,0.2765148375183344,0.5038483738899231,0.4546670727431774,10
ประเทศ,ประ+เทศ,2,0.051;0.307,0.05107339844107628,0.17921471409499645,0.3073560297489166,0.25628263130784035,4
ประเทศ,ประ+เทศ,2,0.051;0.307,0.05107339844107628,0.17921471409499645,0.3073560297489166,0.25628263130784035,4
รถสองแถว,รถ+สอง+แถว,3,0.433;0.053;0.287,0.05307438597083092,0.25745901341239613,0.4326498210430145,0.3795754350721836,9
รถสองแถว,รถ+สอง+แถว,3,0.433;0.053;0.287,0.05307438597083092,0.25745901341239613,0.4326498210430145,0.3795754350721836,9
แตงกวา,แตง+กวา,2,0.317;0.053,0.05327153950929642,0.18515539541840553,0.31703925132751465,0.26376771181821823,11
แตงกวา,แตง+กวา,2,0.317;0.053,0.05327153950929642,0.18515539541840553,0.31703925132751465,0.26376771181821823,11
สนใจ,สน+ใจ,2,0.292;0.067,0.06678254157304764,0.17957380786538124,0.29236507415771484,0.2255825325846672,22
ตีหนึ่ง,ตี+หนึ่ง,2,0.325;0.067,0.06699827313423157,0.19575677812099457,0.32451528310775757,0.257517009973526,17
ตีหนึ่ง,ตี+หนึ่ง,2,0.325;0.067,0.06699827313423157,0.19575677812099457,0.32451528310775757,0.257517009973526,17
เดินทาง,เดิน+ทาง,2,0.538;0.069,0.06900069117546082,0.30329085886478424,0.5375810265541077,0.46858033537864685,5
รถไฟ,รถ+ไฟ,2,0.342;0.069,0.06919983774423599,0.20560747757554054,0.3420151174068451,0.2728152796626091,23
รถไฟ,รถ+ไฟ,2,0.342;0.069,0.06919983774423599,0.20560747757554054,0.3420151174068451,0.2728152796626091,23
รถไฟ,รถ+ไฟ,2,0.342;0.069,0.06919983774423599,0.20560747757554054,0.3420151174068451,0.2728152796626091,23
รถไฟ,รถ+ไฟ,2,0.342;0.069,0.06919983774423599,0.20560747757554054,0.3420151174068451,0.2728152796626091,23
เป็นมิตร,เป็น+มิตร,2,0.146;0.071,0.07122786343097687,0.10883846133947372,0.14644905924797058,0.07522119581699371,28
เป็นมิตร,เป็น+มิตร,2,0.146;0.071,0.07122786343097687,0.10883846133947372,0.14644905924797058,0.07522119581699371,28
ลิ้นจี่,ลิ้น+จี่,2,0.079;0.073,0.07266604155302048,0.07571331039071083,0.07876057922840118,0.006094537675380707,215
สะพาน,สะ+พาน,2,0.074;0.224,0.07434845715761185,0.14905880764126778,0.2237691581249237,0.14942070096731186,21
สะพาน,สะ+พาน,2,0.074;0.224,0.07434845715761185,0.14905880764126778,0.2237691581249237,0.14942070096731186,21
รสจัด,รส+จัด,2,0.335;0.075,0.07535131275653839,0.20531388372182846,0.33527645468711853,0.25992514193058014,3
รสจัด,รส+จัด,2,0.335;0.075,0.07535131275653839,0.20531388372182846,0.33527645468711853,0.25992514193058014,3
แน่นอน,แน่+นอน,2,0.506;0.077,0.07749009877443314,0.29159167781472206,0.505693256855011,0.42820315808057785,18
หัวเราะ,หัว+เราะ,2,0.079;0.117,0.07889792323112488,0.09806901216506958,0.11724010109901428,0.038342177867889404,43
ซ้ายมือ,ซ้าย+มือ,2,0.527;0.081,0.08118285238742828,0.3042566552758217,0.5273304581642151,0.4461476057767868,2
ซ้ายมือ,ซ้าย+มือ,2,0.527;0.081,0.08118285238742828,0.3042566552758217,0.5273304581642151,0.4461476057767868,2
ลำไย,ลำ+ไย,2,0.144;0.083,0.08257913589477539,0.11324642598628998,0.14391371607780457,0.061334580183029175,58
ลำไย,ลำ+ไย,2,0.144;0.083,0.08257913589477539,0.11324642598628998,0.14391371607780457,0.061334580183029175,58
รองเท้า,รอง+เท้า,2,0.083;0.363,0.08307795971632004,0.2232184074819088,0.36335885524749756,0.2802808955311775,1
รองเท้า,รอง+เท้า,2,0.083;0.363,0.08307795971632004,0.2232184074819088,0.36335885524749756,0.2802808955311775,1
ชั่วโมง,ชั่ว+โมง,2,0.084;0.559,0.08433198928833008,0.3217528164386749,0.5591736435890198,0.4748416543006897,2
ชั่วโมง,ชั่ว+โมง,2,0.084;0.559,0.08433198928833008,0.3217528164386749,0.5591736435890198,0.4748416543006897,2
ที่นั่ง,ที่+นั่ง,2,0.087;0.522,0.08743765950202942,0.3047843426465988,0.5221310257911682,0.4346933662891388,3
ที่นั่ง,ที่+นั่ง,2,0.087;0.522,0.08743765950202942,0.3047843426465988,0.5221310257911682,0.4346933662891388,3
กุมภาพันธ์,กุมภา+พันธ์,2,0.590;0.089,0.08876167237758636,0.339341901242733,0.5899221301078796,0.5011604577302933,4
กุมภาพันธ์,กุมภา+พันธ์,2,0.590;0.089,0.08876167237758636,0.339341901242733,0.5899221301078796,0.5011604577302933,4
จักรยาน,จักร+ยาน,2,0.089;0.165,0.08905022591352463,0.1269163005053997,0.16478237509727478,0.07573214918375015,12
จักรยาน,จักร+ยาน,2,0.089;0.165,0.08905022591352463,0.1269163005053997,0.16478237509727478,0.07573214918375015,12
ตั้งแต่,ตั้ง+แต่,2,0.166;0.090,0.09027912467718124,0.12804625555872917,0.1658133864402771,0.07553426176309586,110
กระเทียม,กระ+เทียม,2,0.199;0.090,0.09045520424842834,0.1446157768368721,0.19877634942531586,0.10832114517688751,16
กระเทียม,กระ+เทียม,2,0.199;0.090,0.09045520424842834,0.1446157768368721,0.19877634942531586,0.10832114517688751,16
ขวามือ,ขวา+มือ,2,0.611;0.091,0.09060760587453842,0.3509064130485058,0.6112052202224731,0.5205976143479347,1
ขวามือ,ขวา+มือ,2,0.611;0.091,0.09060760587453842,0.3509064130485058,0.6112052202224731,0.5205976143479347,1
กรุงเทพ,กรุง+เทพ,2,0.316;0.094,0.09416033327579498,0.20532333105802536,0.31648632884025574,0.22232599556446075,1
แผนที่,แผน+ที่,2,0.293;0.095,0.09458479285240173,0.19396762549877167,0.2933504581451416,0.19876566529273987,3
ชมพู่,ชม+พู่,2,0.095;0.153,0.09485533833503723,0.1240975558757782,0.15333977341651917,0.058484435081481934,65
ชมพู่,ชม+พู่,2,0.095;0.153,0.09485533833503723,0.1240975558757782,0.15333977341651917,0.058484435081481934,65
เงินทอน,เงิน+ทอน,2,0.350;0.099,0.09861111640930176,0.22453464567661285,0.35045817494392395,0.2518470585346222,8
เงินทอน,เงิน+ทอน,2,0.350;0.099,0.09861111640930176,0.22453464567661285,0.35045817494392395,0.2518470585346222,8
ไว้ใจ,ไว้+ใจ,2,0.099;0.246,0.09936390072107315,0.17251506075263023,0.24566622078418732,0.14630232006311417,40
เครื่องเทศ,เครื่อง+เทศ,2,0.100;0.186,0.10007742792367935,0.14296921715140343,0.1858610063791275,0.08578357845544815,10
เครื่องเทศ,เครื่อง+เทศ,2,0.100;0.186,0.10007742792367935,0.14296921715140343,0.1858610063791275,0.08578357845544815,10
อันนี้,อัน+นี้,2,0.103;0.334,0.10303035378456116,0.21840506792068481,0.33377978205680847,0.23074942827224731,3
อันนี้,อัน+นี้,2,0.103;0.334,0.10303035378456116,0.21840506792068481,0.33377978205680847,0.23074942827224731,3
ชายหาด,ชาย+หาด,2,0.105;0.739,0.10522563010454178,0.42221877351403236,0.739211916923523,0.6339862868189812,1
ชายหาด,ชาย+หาด,2,0.105;0.739,0.10522563010454178,0.42221877351403236,0.739211916923523,0.6339862868189812,1
มะละกอ,มะ+ละ+กอ,3,0.135;0.152;0.106,0.10624190419912338,0.13106432805458704,0.15207433700561523,0.04583243280649185,24
มะละกอ,มะ+ละ+กอ,3,0.135;0.152;0.106,0.10624190419912338,0.13106432805458704,0.15207433700561523,0.04583243280649185,24
